iteration,loss,delay,jitter,md5_hash,ttc
0,1,20,0,cc83be85db391e9396e1427b3e124968,48.66503167152405
1,1,20,0,cc83be85db391e9396e1427b3e124968,48.69246792793274
0,2,20,0,cc83be85db391e9396e1427b3e124968,49.43514561653137
1,2,20,0,cc83be85db391e9396e1427b3e124968,49.07794523239136
0,3,20,0,cc83be85db391e9396e1427b3e124968,50.23461866378784
1,3,20,0,cc83be85db391e9396e1427b3e124968,50.1237518787384
0,4,20,0,cc83be85db391e9396e1427b3e124968,51.90412974357605
1,4,20,0,cc83be85db391e9396e1427b3e124968,50.61233878135681
0,5,20,0,cc83be85db391e9396e1427b3e124968,51.09540414810181
1,5,20,0,cc83be85db391e9396e1427b3e124968,51.54823970794678
